booking_id,room,start_date,end_date,request_id,prefix_room,bookings_days,client_name,room_type,request_type,adults,childrens,total_occupancy,price_day,capacity,total_price,overcrowded
20,S11,2016-03-19,2016-03-21,14,S,2,Dr. Jeana Bode DDS,conference_room_small,conference,43,0,43,80,15,160,1
21,S12,2016-03-19,2016-03-21,14,S,2,Dr. Jeana Bode DDS,conference_room_small,conference,43,0,43,80,15,160,1
22,S13,2016-03-19,2016-03-21,14,S,2,Dr. Jeana Bode DDS,conference_room_small,conference,43,0,43,80,15,160,1
23,D0,2016-01-10,2016-01-11,15,D,1,Tiarra Brekke,double_room,business,2,0,2,100,3,100,0
24,L0,2016-03-22,2016-03-23,16,L,1,Migdalia Little,conference_room_large,conference,14,0,14,150,50,150,0
25,X0,2016-01-30,2016-02-08,17,X,9,Miss Vernetta Mitchell,deluxe_room,holiday,4,0,4,150,3,1350,1
26,X1,2016-01-30,2016-02-08,17,X,9,Miss Vernetta Mitchell,deluxe_room,holiday,4,0,4,150,3,1350,1
27,S3,2016-02-13,2016-02-16,18,S,3,Jaylyn Metz,conference_room_small,wedding,36,18,54,80,15,240,1
28,S4,2016-02-13,2016-02-16,18,S,3,Jaylyn Metz,conference_room_small,wedding,36,18,54,80,15,240,1
29,S5,2016-02-13,2016-02-16,18,S,3,Jaylyn Metz,conference_room_small,wedding,36,18,54,80,15,240,1
30,S6,2016-02-13,2016-02-16,18,S,3,Jaylyn Metz,conference_room_small,wedding,36,18,54,80,15,240,1
31,N0,2016-01-28,2016-02-05,19,N,8,Kenyon Green I,normal_room,holiday,1,3,4,80,1,640,1
32,N1,2016-01-28,2016-02-05,19,N,8,Kenyon Green I,normal_room,holiday,1,3,4,80,1,640,1
33,N2,2016-01-28,2016-02-05,19,N,8,Kenyon Green I,normal_room,holiday,1,3,4,80,1,640,1
34,N3,2016-01-28,2016-02-05,19,N,8,Kenyon Green I,normal_room,holiday,1,3,4,80,1,640,1
35,S61,2016-03-02,2016-03-06,20,S,4,Le O'Kon,conference_room_small,party,22,11,33,80,15,320,1
36,S62,2016-03-02,2016-03-06,20,S,4,Le O'Kon,conference_room_small,party,22,11,33,80,15,320,1
37,S71,2016-03-02,2016-03-06,20,S,4,Le O'Kon,conference_room_small,party,22,11,33,80,15,320,1
38,D2,2016-03-26,2016-03-28,21,D,2,Mr. Oswaldo Terry DVM,double_room,holiday,1,0,1,100,3,200,0
39,L0,2016-03-23,2016-03-26,22,L,3,Dr. Tennille Lind,conference_room_large,party,7,41,48,150,50,450,0
40,N0,2016-01-06,2016-01-08,23,N,2,Mitch Goodwin DDS,normal_room,business,1,1,2,80,1,160,1
41,N1,2016-01-06,2016-01-08,23,N,2,Mitch Goodwin DDS,normal_room,business,1,1,2,80,1,160,1
42,L1,2016-03-22,2016-03-27,24,L,5,Dr. Lilliana Wiegand,conference_room_large,party,34,34,68,150,50,750,1
43,L2,2016-03-22,2016-03-27,24,L,5,Dr. Lilliana Wiegand,conference_room_large,party,34,34,68,150,50,750,1
44,S0,2016-03-12,2016-03-14,25,S,2,Jeannie Olson,conference_room_small,conference,16,0,16,80,15,160,1
45,S1,2016-03-12,2016-03-14,25,S,2,Jeannie Olson,conference_room_small,conference,16,0,16,80,15,160,1
46,L0,2016-01-04,2016-01-08,26,L,4,Dr. Prudence Bode PhD,conference_room_large,wedding,23,24,47,150,50,600,0
47,X0,2016-02-26,2016-02-28,27,X,2,Dr. Sal Fisher DDS,deluxe_room,business,1,0,1,150,3,300,0
48,N0,2016-01-12,2016-01-19,28,N,7,Dangelo Schimmel,normal_room,holiday,5,0,5,80,1,560,1
49,N1,2016-01-12,2016-01-19,28,N,7,Dangelo Schimmel,normal_room,holiday,5,0,5,80,1,560,1
50,N2,2016-01-12,2016-01-19,28,N,7,Dangelo Schimmel,normal_room,holiday,5,0,5,80,1,560,1
51,N3,2016-01-12,2016-01-19,28,N,7,Dangelo Schimmel,normal_room,holiday,5,0,5,80,1,560,1
52,N4,2016-01-12,2016-01-19,28,N,7,Dangelo Schimmel,normal_room,holiday,5,0,5,80,1,560,1
53,N6,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
54,N7,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
55,N30,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
56,N31,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
57,N32,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
58,N33,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
59,N71,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
60,N72,2016-03-09,2016-03-13,29,N,4,Dr. Billy Corkery,normal_room,holiday,5,3,8,80,1,320,1
61,L0,2016-03-03,2016-03-07,30,L,4,Amanda Marvin,conference_room_large,conference,40,0,40,150,50,600,0
62,X1,2016-03-02,2016-03-03,31,X,1,Kirstin Parisian MD,deluxe_room,holiday,2,0,2,150,3,150,0
63,L0,2016-01-01,2016-01-04,32,L,3,Lorene Mayer,conference_room_large,wedding,27,26,53,150,50,450,1
64,L1,2016-01-01,2016-01-04,32,L,3,Lorene Mayer,conference_room_large,wedding,27,26,53,150,50,450,1
65,L12,2016-03-13,2016-03-16,33,L,3,Franz Wuckert Jr.,conference_room_large,conference,28,0,28,150,50,450,0
66,X20,2016-02-27,2016-02-29,34,X,2,Washington Denesik,deluxe_room,holiday,4,1,5,150,3,300,1
67,X33,2016-02-27,2016-02-29,34,X,2,Washington Denesik,deluxe_room,holiday,4,1,5,150,3,300,1
68,D5,2016-02-12,2016-02-15,35,D,3,Cristopher Schmidt,double_room,holiday,4,0,4,100,3,300,1
69,D12,2016-02-12,2016-02-15,35,D,3,Cristopher Schmidt,double_room,holiday,4,0,4,100,3,300,1
70,N0,2016-03-02,2016-03-10,37,N,8,Danial Oberbrunner,normal_room,holiday,5,1,6,80,1,640,1
71,N1,2016-03-02,2016-03-10,37,N,8,Danial Oberbrunner,normal_room,holiday,5,1,6,80,1,640,1
72,N2,2016-03-02,2016-03-10,37,N,8,Danial Oberbrunner,normal_room,holiday,5,1,6,80,1,640,1
73,N3,2016-03-02,2016-03-10,37,N,8,Danial Oberbrunner,normal_room,holiday,5,1,6,80,1,640,1
74,N4,2016-03-02,2016-03-10,37,N,8,Danial Oberbrunner,normal_room,holiday,5,1,6,80,1,640,1
75,N5,2016-03-02,2016-03-10,37,N,8,Danial Oberbrunner,normal_room,holiday,5,1,6,80,1,640,1
76,D0,2016-03-08,2016-03-09,38,D,1,Mr. Jaxen Batz,double_room,holiday,1,0,1,100,3,100,0
77,D0,2016-02-21,2016-02-27,39,D,6,Yair Dooley,double_room,business,2,0,2,100,3,600,0
78,N10,2016-03-03,2016-03-07,40,N,4,Dr. Ruffin VonRueden,normal_room,holiday,1,1,2,80,1,320,1
79,N29,2016-03-03,2016-03-07,40,N,4,Dr. Ruffin VonRueden,normal_room,holiday,1,1,2,80,1,320,1
80,X0,2016-03-02,2016-03-10,42,X,8,Marshall Sporer,deluxe_room,business,2,0,2,150,3,1200,0
81,D7,2016-02-11,2016-02-14,43,D,3,Mr. Kylan Kiehn,double_room,holiday,2,0,2,100,3,300,0
82,L0,2016-03-12,2016-03-16,44,L,4,Isam Jaskolski,conference_room_large,party,20,28,48,150,50,600,0
83,N6,2016-03-04,2016-03-09,45,N,5,Kathyrn Hagenes,normal_room,business,2,0,2,80,1,400,1
84,N7,2016-03-04,2016-03-09,45,N,5,Kathyrn Hagenes,normal_room,business,2,0,2,80,1,400,1
85,S0,2016-03-04,2016-03-06,46,S,2,Dr. Demetrios Macejkovic,conference_room_small,party,37,40,77,80,15,160,1
86,S1,2016-03-04,2016-03-06,46,S,2,Dr. Demetrios Macejkovic,conference_room_small,party,37,40,77,80,15,160,1
87,S2,2016-03-04,2016-03-06,46,S,2,Dr. Demetrios Macejkovic,conference_room_small,party,37,40,77,80,15,160,1
88,S3,2016-03-04,2016-03-06,46,S,2,Dr. Demetrios Macejkovic,conference_room_small,party,37,40,77,80,15,160,1
89,S4,2016-03-04,2016-03-06,46,S,2,Dr. Demetrios Macejkovic,conference_room_small,party,37,40,77,80,15,160,1
90,S5,2016-03-04,2016-03-06,46,S,2,Dr. Demetrios Macejkovic,conference_room_small,party,37,40,77,80,15,160,1
91,D0,2016-03-20,2016-03-29,47,D,9,Okey Hartmann,double_room,holiday,3,1,4,100,3,900,1
92,D1,2016-03-20,2016-03-29,47,D,9,Okey Hartmann,double_room,holiday,3,1,4,100,3,900,1
93,N4,2016-01-29,2016-02-01,48,N,3,Donavan Ferry,normal_room,business,1,0,1,80,1,240,0
94,L8,2016-01-11,2016-01-12,49,L,1,Ms. Elaina Hermiston DVM,conference_room_large,party,34,21,55,150,50,150,1
95,L12,2016-01-11,2016-01-12,49,L,1,Ms. Elaina Hermiston DVM,conference_room_large,party,34,21,55,150,50,150,1
96,D0,2016-01-19,2016-01-22,50,D,3,Luella Rau,double_room,business,4,1,5,100,3,300,1
97,D1,2016-01-19,2016-01-22,50,D,3,Luella Rau,double_room,business,4,1,5,100,3,300,1
98,D0,2016-02-29,2016-03-08,51,D,8,Gunnar O'Conner Jr.,double_room,business,2,0,2,100,3,800,0
99,D0,2016-01-22,2016-01-27,52,D,5,Erasmo Ferry,double_room,business,2,0,2,100,3,500,0
100,S0,2016-01-12,2016-01-16,53,S,4,Gussie Terry,conference_room_small,wedding,8,52,60,80,15,320,1
101,S1,2016-01-12,2016-01-16,53,S,4,Gussie Terry,conference_room_small,wedding,8,52,60,80,15,320,1
102,S2,2016-01-12,2016-01-16,53,S,4,Gussie Terry,conference_room_small,wedding,8,52,60,80,15,320,1
103,S3,2016-01-12,2016-01-16,53,S,4,Gussie Terry,conference_room_small,wedding,8,52,60,80,15,320,1
104,D1,2016-02-26,2016-03-08,54,D,11,Isa Jacobs,double_room,business,1,0,1,100,3,1100,0
105,D2,2016-03-04,2016-03-14,55,D,10,Ivanna Ondricka,double_room,business,4,0,4,100,3,1000,1
106,D3,2016-03-04,2016-03-14,55,D,10,Ivanna Ondricka,double_room,business,4,0,4,100,3,1000,1
107,N4,2016-01-24,2016-01-31,56,N,7,Hezzie Gerhold,normal_room,business,1,1,2,80,1,560,1
108,N5,2016-01-24,2016-01-31,56,N,7,Hezzie Gerhold,normal_room,business,1,1,2,80,1,560,1
109,X0,2016-02-28,2016-03-03,57,X,4,Jim Kuhic,deluxe_room,holiday,1,2,3,150,3,600,0
110,N0,2016-01-04,2016-01-06,58,N,2,Ocie Torp,normal_room,holiday,4,0,4,80,1,160,1
111,N1,2016-01-04,2016-01-06,58,N,2,Ocie Torp,normal_room,holiday,4,0,4,80,1,160,1
112,N2,2016-01-04,2016-01-06,58,N,2,Ocie Torp,normal_room,holiday,4,0,4,80,1,160,1
113,N3,2016-01-04,2016-01-06,58,N,2,Ocie Torp,normal_room,holiday,4,0,4,80,1,160,1
114,X1,2016-01-16,2016-01-25,59,X,9,Mr. Immanuel Schowalter PhD,deluxe_room,business,1,1,2,150,3,1350,0
115,L1,2016-01-03,2016-01-05,60,L,2,Christel Zulauf,conference_room_large,conference,22,0,22,150,50,300,0
116,L1,2016-03-28,2016-04-06,61,L,9,Ashleigh Reinger,conference_room_large,party,31,32,63,150,50,1350,1
117,L2,2016-03-28,2016-04-06,61,L,9,Ashleigh Reinger,conference_room_large,party,31,32,63,150,50,1350,1
118,N0,2016-02-17,2016-02-20,62,N,3,Ms. Marvel Haley MD,normal_room,holiday,2,0,2,80,1,240,1
119,N1,2016-02-17,2016-02-20,62,N,3,Ms. Marvel Haley MD,normal_room,holiday,2,0,2,80,1,240,1
120,L29,2016-03-08,2016-03-09,63,L,1,Abril Senger,conference_room_large,wedding,38,47,85,150,50,150,1
121,L30,2016-03-08,2016-03-09,63,L,1,Abril Senger,conference_room_large,wedding,38,47,85,150,50,150,1
122,X0,2016-02-08,2016-02-10,64,X,2,Bambi Carter,deluxe_room,business,1,0,1,150,3,300,0
123,D0,2016-03-30,2016-04-06,65,D,7,Sherri Gottlieb,double_room,holiday,2,0,2,100,3,700,0
124,N25,2016-02-20,2016-02-23,66,N,3,Mrs. Shania Huels MD,normal_room,business,2,2,4,80,1,240,1
125,N26,2016-02-20,2016-02-23,66,N,3,Mrs. Shania Huels MD,normal_room,business,2,2,4,80,1,240,1
126,N27,2016-02-20,2016-02-23,66,N,3,Mrs. Shania Huels MD,normal_room,business,2,2,4,80,1,240,1
127,N46,2016-02-20,2016-02-23,66,N,3,Mrs. Shania Huels MD,normal_room,business,2,2,4,80,1,240,1
128,L0,2016-02-26,2016-03-03,67,L,6,Homer Schiller,conference_room_large,conference,23,0,23,150,50,900,0
129,L1,2016-03-27,2016-03-29,68,L,2,Mrs. Kelly O'Conner,conference_room_large,conference,36,0,36,150,50,300,0
130,D0,2016-01-04,2016-01-08,69,D,4,Dr. Dominic Auer,double_room,business,1,0,1,100,3,400,0
131,S0,2016-01-01,2016-01-03,70,S,2,Matt Lynch,conference_room_small,party,14,28,42,80,15,160,1
132,S1,2016-01-01,2016-01-03,70,S,2,Matt Lynch,conference_room_small,party,14,28,42,80,15,160,1
133,S2,2016-01-01,2016-01-03,70,S,2,Matt Lynch,conference_room_small,party,14,28,42,80,15,160,1
134,D0,2016-01-12,2016-01-14,71,D,2,Dr. Tamiko Bauch PhD,double_room,holiday,6,3,9,100,3,200,1
135,D2,2016-01-12,2016-01-14,71,D,2,Dr. Tamiko Bauch PhD,double_room,holiday,6,3,9,100,3,200,1
136,D3,2016-01-12,2016-01-14,71,D,2,Dr. Tamiko Bauch PhD,double_room,holiday,6,3,9,100,3,200,1
137,N10,2016-02-01,2016-02-06,72,N,5,Mardell Rath,normal_room,business,4,0,4,80,1,400,1
138,N11,2016-02-01,2016-02-06,72,N,5,Mardell Rath,normal_room,business,4,0,4,80,1,400,1
139,N12,2016-02-01,2016-02-06,72,N,5,Mardell Rath,normal_room,business,4,0,4,80,1,400,1
140,N13,2016-02-01,2016-02-06,72,N,5,Mardell Rath,normal_room,business,4,0,4,80,1,400,1
141,L5,2016-01-14,2016-01-15,73,L,1,Magdalena Hilpert PhD,conference_room_large,conference,17,0,17,150,50,150,0
142,N11,2016-02-20,2016-02-25,74,N,5,Knox Altenwerth,normal_room,holiday,3,1,4,80,1,400,1
143,N18,2016-02-20,2016-02-25,74,N,5,Knox Altenwerth,normal_room,holiday,3,1,4,80,1,400,1
144,N19,2016-02-20,2016-02-25,74,N,5,Knox Altenwerth,normal_room,holiday,3,1,4,80,1,400,1
145,N24,2016-02-20,2016-02-25,74,N,5,Knox Altenwerth,normal_room,holiday,3,1,4,80,1,400,1
146,S0,2016-03-18,2016-03-20,75,S,2,Ephraim Schamberger,conference_room_small,conference,20,0,20,80,15,160,1
147,S1,2016-03-18,2016-03-20,75,S,2,Ephraim Schamberger,conference_room_small,conference,20,0,20,80,15,160,1
148,X14,2016-03-04,2016-03-07,76,X,3,Faye Mraz,deluxe_room,business,1,0,1,150,3,450,0
149,X0,2016-01-18,2016-01-22,77,X,4,Chadd Wunsch,deluxe_room,business,1,1,2,150,3,600,0
150,S0,2016-02-14,2016-02-26,78,S,12,Germaine Lockman,conference_room_small,conference,41,0,41,80,15,960,1
151,S1,2016-02-14,2016-02-26,78,S,12,Germaine Lockman,conference_room_small,conference,41,0,41,80,15,960,1
152,S2,2016-02-14,2016-02-26,78,S,12,Germaine Lockman,conference_room_small,conference,41,0,41,80,15,960,1
153,D2,2016-02-03,2016-02-05,79,D,2,Izaiah Ferry,double_room,holiday,1,1,2,100,3,200,0
154,L1,2016-03-20,2016-03-23,80,L,3,Claud Lebsack,conference_room_large,party,16,38,54,150,50,450,1
155,L8,2016-03-20,2016-03-23,80,L,3,Claud Lebsack,conference_room_large,party,16,38,54,150,50,450,1
156,X0,2016-01-11,2016-01-17,81,X,6,Glover Hansen,deluxe_room,business,6,0,6,150,3,900,1
157,X1,2016-01-11,2016-01-17,81,X,6,Glover Hansen,deluxe_room,business,6,0,6,150,3,900,1
158,X0,2016-02-17,2016-02-18,82,X,1,Bethel Upton IV,deluxe_room,business,3,0,3,150,3,150,0
159,N0,2016-02-22,2016-03-04,83,N,11,Dr. Flonnie Kreiger,normal_room,holiday,1,4,5,80,1,880,1
160,N1,2016-02-22,2016-03-04,83,N,11,Dr. Flonnie Kreiger,normal_room,holiday,1,4,5,80,1,880,1
161,N2,2016-02-22,2016-03-04,83,N,11,Dr. Flonnie Kreiger,normal_room,holiday,1,4,5,80,1,880,1
162,N3,2016-02-22,2016-03-04,83,N,11,Dr. Flonnie Kreiger,normal_room,holiday,1,4,5,80,1,880,1
163,N4,2016-02-22,2016-03-04,83,N,11,Dr. Flonnie Kreiger,normal_room,holiday,1,4,5,80,1,880,1
164,L1,2016-03-19,2016-03-20,84,L,1,Jaelyn Gusikowski,conference_room_large,wedding,17,20,37,150,50,150,0
165,L0,2016-02-15,2016-02-21,85,L,6,Stephenie Waelchi,conference_room_large,wedding,27,20,47,150,50,900,0
166,D2,2016-02-01,2016-02-03,86,D,2,Gracie Wiza,double_room,business,1,0,1,100,3,200,0
167,S0,2016-01-16,2016-01-18,87,S,2,Annmarie Bogan,conference_room_small,party,34,18,52,80,15,160,1
168,S1,2016-01-16,2016-01-18,87,S,2,Annmarie Bogan,conference_room_small,party,34,18,52,80,15,160,1
169,S2,2016-01-16,2016-01-18,87,S,2,Annmarie Bogan,conference_room_small,party,34,18,52,80,15,160,1
170,S8,2016-01-16,2016-01-18,87,S,2,Annmarie Bogan,conference_room_small,party,34,18,52,80,15,160,1
171,D2,2016-03-23,2016-03-26,88,D,3,Anna Adams,double_room,business,4,0,4,100,3,300,1
172,D3,2016-03-23,2016-03-26,88,D,3,Anna Adams,double_room,business,4,0,4,100,3,300,1
173,N5,2016-02-27,2016-03-05,89,N,7,Jeremy King IV,normal_room,holiday,5,0,5,80,1,560,1
174,N6,2016-02-27,2016-03-05,89,N,7,Jeremy King IV,normal_room,holiday,5,0,5,80,1,560,1
175,N7,2016-02-27,2016-03-05,89,N,7,Jeremy King IV,normal_room,holiday,5,0,5,80,1,560,1
176,N8,2016-02-27,2016-03-05,89,N,7,Jeremy King IV,normal_room,holiday,5,0,5,80,1,560,1
177,N9,2016-02-27,2016-03-05,89,N,7,Jeremy King IV,normal_room,holiday,5,0,5,80,1,560,1
178,S0,2016-01-23,2016-01-27,90,S,4,Maryanne Jones,conference_room_small,party,27,32,59,80,15,320,1
179,S1,2016-01-23,2016-01-27,90,S,4,Maryanne Jones,conference_room_small,party,27,32,59,80,15,320,1
180,S2,2016-01-23,2016-01-27,90,S,4,Maryanne Jones,conference_room_small,party,27,32,59,80,15,320,1
181,S3,2016-01-23,2016-01-27,90,S,4,Maryanne Jones,conference_room_small,party,27,32,59,80,15,320,1
182,X1,2016-02-04,2016-02-20,91,X,16,Dr. Derrick Sanford,deluxe_room,holiday,1,1,2,150,3,2400,0
183,L1,2016-02-28,2016-03-03,92,L,4,Festus Bergnaum PhD,conference_room_large,party,26,18,44,150,50,600,0
184,X2,2016-01-13,2016-01-25,93,X,12,Sylva Kirlin,deluxe_room,business,4,0,4,150,3,1800,1
185,X3,2016-01-13,2016-01-25,93,X,12,Sylva Kirlin,deluxe_room,business,4,0,4,150,3,1800,1
186,N0,2016-02-20,2016-02-22,94,N,2,Blanche Hyatt,normal_room,business,2,0,2,80,1,160,1
187,N1,2016-02-20,2016-02-22,94,N,2,Blanche Hyatt,normal_room,business,2,0,2,80,1,160,1
188,S0,2016-02-03,2016-02-07,95,S,4,Amit White,conference_room_small,wedding,21,23,44,80,15,320,1
189,S1,2016-02-03,2016-02-07,95,S,4,Amit White,conference_room_small,wedding,21,23,44,80,15,320,1
190,S7,2016-02-03,2016-02-07,95,S,4,Amit White,conference_room_small,wedding,21,23,44,80,15,320,1
191,D0,2016-02-08,2016-02-11,96,D,3,Camilo Donnelly,double_room,business,2,1,3,100,3,300,0
192,D3,2016-03-26,2016-03-30,97,D,4,Juelz Corwin DVM,double_room,holiday,2,0,2,100,3,400,0
193,N0,2016-02-13,2016-02-16,98,N,3,Mrs. Iliana Parisian DVM,normal_room,business,1,0,1,80,1,240,0
194,X36,2016-02-02,2016-02-04,99,X,2,Dr. Elton Kunze IV,deluxe_room,business,8,0,8,150,3,300,1
195,X37,2016-02-02,2016-02-04,99,X,2,Dr. Elton Kunze IV,deluxe_room,business,8,0,8,150,3,300,1
196,X48,2016-02-02,2016-02-04,99,X,2,Dr. Elton Kunze IV,deluxe_room,business,8,0,8,150,3,300,1
197,D1,2016-02-04,2016-02-14,100,D,10,Cleo Monahan,double_room,business,2,0,2,100,3,1000,0
198,N25,2016-02-23,2016-02-25,101,N,2,Erving Windler,normal_room,business,3,0,3,80,1,160,1
199,N26,2016-02-23,2016-02-25,101,N,2,Erving Windler,normal_room,business,3,0,3,80,1,160,1
200,N27,2016-02-23,2016-02-25,101,N,2,Erving Windler,normal_room,business,3,0,3,80,1,160,1
201,N1,2016-02-15,2016-02-17,102,N,2,Rosabelle Barton MD,normal_room,holiday,2,1,3,80,1,160,1
202,N2,2016-02-15,2016-02-17,102,N,2,Rosabelle Barton MD,normal_room,holiday,2,1,3,80,1,160,1
203,N3,2016-02-15,2016-02-17,102,N,2,Rosabelle Barton MD,normal_room,holiday,2,1,3,80,1,160,1
204,D2,2016-02-13,2016-02-17,103,D,4,Raheem Spinka,double_room,holiday,3,2,5,100,3,400,1
205,D3,2016-02-13,2016-02-17,103,D,4,Raheem Spinka,double_room,holiday,3,2,5,100,3,400,1
206,S0,2016-03-28,2016-04-02,104,S,5,Miya Schoen,conference_room_small,conference,45,0,45,80,15,400,1
207,S1,2016-03-28,2016-04-02,104,S,5,Miya Schoen,conference_room_small,conference,45,0,45,80,15,400,1
208,S2,2016-03-28,2016-04-02,104,S,5,Miya Schoen,conference_room_small,conference,45,0,45,80,15,400,1
209,S0,2016-02-07,2016-02-09,105,S,2,Barrett Stroman,conference_room_small,conference,33,0,33,80,15,160,1
210,S1,2016-02-07,2016-02-09,105,S,2,Barrett Stroman,conference_room_small,conference,33,0,33,80,15,160,1
211,S2,2016-02-07,2016-02-09,105,S,2,Barrett Stroman,conference_room_small,conference,33,0,33,80,15,160,1
212,S3,2016-02-25,2016-02-27,106,S,2,Darin Bauch,conference_room_small,party,22,6,28,80,15,160,1
213,S4,2016-02-25,2016-02-27,106,S,2,Darin Bauch,conference_room_small,party,22,6,28,80,15,160,1
214,L2,2016-02-08,2016-02-14,107,L,6,Ryne Harber,conference_room_large,conference,35,0,35,150,50,900,0
215,X1,2016-03-08,2016-03-12,108,X,4,Cap O'Kon,deluxe_room,business,1,0,1,150,3,600,0
216,X5,2016-01-13,2016-01-19,109,X,6,Miss Sybilla Kutch PhD,deluxe_room,business,4,1,5,150,3,900,1
217,X10,2016-01-13,2016-01-19,109,X,6,Miss Sybilla Kutch PhD,deluxe_room,business,4,1,5,150,3,900,1
218,N15,2016-03-08,2016-03-16,110,N,8,Rene Rosenbaum,normal_room,holiday,1,0,1,80,1,640,0
219,S0,2016-03-15,2016-03-18,111,S,3,Miss Takisha DuBuque PhD,conference_room_small,party,21,23,44,80,15,240,1
220,S1,2016-03-15,2016-03-18,111,S,3,Miss Takisha DuBuque PhD,conference_room_small,party,21,23,44,80,15,240,1
221,S2,2016-03-15,2016-03-18,111,S,3,Miss Takisha DuBuque PhD,conference_room_small,party,21,23,44,80,15,240,1
222,D0,2016-01-31,2016-02-03,112,D,3,Rossie Kshlerin,double_room,holiday,1,1,2,100,3,300,0
223,S41,2016-02-01,2016-02-06,114,S,5,Dr. Margarett Abbott,conference_room_small,conference,31,0,31,80,15,400,1
224,S42,2016-02-01,2016-02-06,114,S,5,Dr. Margarett Abbott,conference_room_small,conference,31,0,31,80,15,400,1
225,S43,2016-02-01,2016-02-06,114,S,5,Dr. Margarett Abbott,conference_room_small,conference,31,0,31,80,15,400,1
226,L0,2016-01-25,2016-01-31,115,L,6,Jaylan Funk,conference_room_large,conference,21,0,21,150,50,900,0
227,N2,2016-02-16,2016-02-19,116,N,3,Shade Welch,normal_room,business,2,0,2,80,1,240,1
228,N3,2016-02-16,2016-02-19,116,N,3,Shade Welch,normal_room,business,2,0,2,80,1,240,1
229,N3,2016-03-16,2016-03-22,117,N,6,Graves Schroeder,normal_room,holiday,6,0,6,80,1,480,1
230,N4,2016-03-16,2016-03-22,117,N,6,Graves Schroeder,normal_room,holiday,6,0,6,80,1,480,1
231,N5,2016-03-16,2016-03-22,117,N,6,Graves Schroeder,normal_room,holiday,6,0,6,80,1,480,1
232,N6,2016-03-16,2016-03-22,117,N,6,Graves Schroeder,normal_room,holiday,6,0,6,80,1,480,1
233,N7,2016-03-16,2016-03-22,117,N,6,Graves Schroeder,normal_room,holiday,6,0,6,80,1,480,1
234,N8,2016-03-16,2016-03-22,117,N,6,Graves Schroeder,normal_room,holiday,6,0,6,80,1,480,1
235,S4,2016-03-13,2016-03-17,119,S,4,Ronin Bednar,conference_room_small,wedding,17,17,34,80,15,320,1
